"","word","n"
"8099","that happened",110
"8100","that show",110
"8101","that that",110
"8102","the direction",110
"8103","the heck",110
"8104","the individual",110
"8105","the initial",110
"8106","the lawsuit",110
"8107","the level",110
"8108","the rose",110
"8109","the southern",110
"8110","the suit",110
"8111","the text",110
"8112","the view",110
"8113","this film",110
"8114","this man",110
"8115","to at",110
"8116","to investigate",110
"8117","together a",110
"8118","two things",110
"8119","w a",110
"8120","week or",110
"8121","week we",110
"8122","well if",110
"8123","when will",110
"8124","which were",110
"8125","will happen",110
"8126","you deserve",110
"8127","you realize",110
"8128","you remember",110
"8129","a brand",109
"8130","about one",109
"8131","account for",109
"8132","all right",109
"8133","all they",109
"8134","and added",109
"8135","and possibly",109
"8136","are amazing",109
"8137","but are",109
"8138","can't sleep",109
"8139","cars and",109
"8140","days when",109
"8141","did have",109
"8142","didn’t want",109
"8143","different than",109
"8144","discuss the",109
"8145","experience in",109
"8146","for stopping",109
"8147","for u",109
"8148","from which",109
"8149","getting into",109
"8150","go there",109
"8151","held at",109
"8152","her as",109
"8153","i'm back",109
"8154","in business",109
"8155","in detroit",109
"8156","in oregon",109
"8157","information and",109
"8158","let's see",109
"8159","little too",109
"8160","month i",109
"8161","more difficult",109
"8162","my whole",109
"8163","names of",109
"8164","night when",109
"8165","of no",109
"8166","or they",109
"8167","pay a",109
"8168","people do",109
"8169","quite the",109
"8170","right thing",109
"8171","says she",109
"8172","seem like",109
"8173","setting up",109
"8174","show me",109
"8175","simple and",109
"8176","since my",109
"8177","states that",109
"8178","style of",109
"8179","than me",109
"8180","that matter",109
"8181","the agreement",109
"8182","the beauty",109
"8183","the country's",109
"8184","the devil",109
"8185","the farm",109
"8186","the medical",109
"8187","the ravens",109
"8188","the schools",109
"8189","those with",109
"8190","thoughts and",109
"8191","to feed",109
"8192","to san",109
"8193","tour of",109
"8194","tribute to",109
"8195","u are",109
"8196","unemployment rate",109
"8197","web site",109
"8198","well i'm",109
"8199","will include",109
"8200","with others",109
"8201","world in",109
"8202","yesterday and",109
"8203","you both",109
"8204","you here",109
"8205","your email",109
"8206","about time",108
"8207","all are",108
"8208","always wanted",108
"8209","an emergency",108
"8210","and eat",108
"8211","and eventually",108
"8212","and food",108
"8213","are actually",108
"8214","at how",108
"8215","be right",108
"8216","bowl of",108
"8217","but since",108
"8218","can change",108
"8219","come into",108
"8220","could just",108
"8221","county and",108
"8222","day he",108
"8223","enjoyed it",108
"8224","friday at",108
"8225","from school",108
"8226","great week",108
"8227","guys i",108
"8228","guys who",108
"8229","had made",108
"8230","has yet",108
"8231","he became",108
"8232","heart is",108
"8233","home is",108
"8234","i then",108
"8235","in six",108
"8236","is we",108
"8237","it how",108
"8238","line up",108
"8239","maybe it",108
"8240","men who",108
"8241","more so",108
"8242","no worries",108
"8243","no you",108
"8244","not exactly",108
"8245","our country",108
"8246","our kids",108
"8247","page and",108
"8248","preparing for",108
"8249","put out",108
"8250","really have",108
"8251","received the",108
"8252","road trip",108
"8253","saying it",108
"8254","several of",108
"8255","should we",108
"8256","site and",108
"8257","team has",108
"8258","the doors",108
"8259","the eastern",108
"8260","the election",108
"8261","the sense",108
"8262","this article",108
"8263","thought they",108
"8264","up here",108
"8265","use this",108
"8266","used by",108
"8267","way but",108
"8268","we're all",108
"8269","were made",108
"8270","when all",108
"8271","whenever i",108
"8272","you buy",108
"8273","young and",108
"8274","your next",108
"8275","a blessing",107
"8276","a fabulous",107
"8277","a hundred",107
"8278","an official",107
"8279","and roll",107
"8280","are better",107
"8281","are usually",107
"8282","as some",107
"8283","be around",107
"8284","be working",107
"8285","been going",107
"8286","began in",107
"8287","being so",107
"8288","can work",107
"8289","case for",107
"8290","created by",107
"8291","day weekend",107
"8292","dinner with",107
"8293","down there",107
"8294","exchange for",107
"8295","film and",107
"8296","friends who",107
"8297","girl and",107
"8298","government to",107
"8299","grand jury",107
"8300","guy is",107
"8301","ha i",107
"8302","had his",107
"8303","harder to",107
"8304","he used",107
"8305","his body",107
"8306","hole in",107
"8307","hope this",107
"8308","hours a",107
"8309","house the",107
"8310","i let",107
"8311","i'm feeling",107
"8312","im gonna",107
"8313","in dallas",107
"8314","in las",107
"8315","in newark",107
"8316","in short",107
"8317","it worked",107
"8318","job is",107
"8319","know they",107
"8320","like and",107
"8321","like us",107
"8322","live music",107
"8323","market and",107
"8324","meet up",107
"8325","middle east",107
"8326","month the",107
"8327","most beautiful",107
"8328","move the",107
"8329","name for",107
"8330","never got",107
"8331","news of",107
"8332","not see",107
"8333","of humor",107
"8334","of service",107
"8335","of war",107
"8336","of writing",107
"8337","on other",107
"8338","open a",107
"8339","other way",107
"8340","outside and",107
"8341","pain and",107
"8342","park in",107
"8343","people think",107
"8344","played the",107
"8345","please do",107
"8346","point guard",107
"8347","prepared for",107
"8348","sales tax",107
"8349","saying he",107
"8350","see more",107
"8351","so cool",107
"8352","some are",107
"8353","standing in",107
"8354","starts with",107
"8355","than half",107
"8356","that be",107
"8357","that new",107
"8358","the lady",107
"8359","the pieces",107
"8360","their parents",107
"8361","them if",107
"8362","there so",107
"8363","they aren't",107
"8364","they call",107
"8365","thoughts on",107
"8366","three year",107
"8367","tickets are",107
"8368","to mind",107
"8369","to name",107
"8370","to ride",107
"8371","told us",107
"8372","tonight for",107
"8373","very interesting",107
"8374","we put",107
"8375","where there",107
"8376","while she",107
"8377","with something",107
"8378","you're so",107
"8379","a conference",106
"8380","a damn",106
"8381","a difficult",106
"8382","a food",106
"8383","a six",106
"8384","almost every",106
"8385","among other",106
"8386","and nothing",106
"8387","and red",106
"8388","answer the",106
"8389","appeal to",106
"8390","as our",106
"8391","be awesome",106
"8392","be quite",106
"8393","blah blah",106
"8394","but im",106
"8395","by far",106
"8396","church in",106
"8397","considered a",106
"8398","cool and",106
"8399","credit for",106
"8400","do your",106
"8401","doubt that",106
"8402","end i",106
"8403","events in",106
"8404","for getting",106
"8405","forget about",106
"8406","friends in",106
"8407","get her",106
"8408","grab a",106
"8409","he died",106
"8410","he doesn’t",106
"8411","he looks",106
"8412","her on",106
"8413","his daughter",106
"8414","his mind",106
"8415","home of",106
"8416","hope u",106
"8417","i ended",106
"8418","in japan",106
"8419","intend to",106
"8420","it do",106
"8421","just do",106
"8422","last tweet",106
"8423","later and",106
"8424","like her",106
"8425","lot about",106
"8426","me we",106
"8427","means the",106
"8428","mention the",106
"8429","message to",106
"8430","miss it",106
"8431","much needed",106
"8432","museum of",106
"8433","myself in",106
"8434","new job",106
"8435","of americans",106
"8436","of hope",106
"8437","on july",106
"8438","out his",106
"8439","part is",106
"8440","penn state",106
"8441","point is",106
"8442","put your",106
"8443","really nice",106
"8444","sales of",106
"8445","second and",106
"8446","set out",106
"8447","she asked",106
"8448","she wanted",106
"8449","so beautiful",106
"8450","son and",106
"8451","take some",106
"8452","that right",106
"8453","the bowl",106
"8454","the chief",106
"8455","the drug",106
"8456","the grass",106
"8457","the hawks",106
"8458","the queen",106
"8459","the vast",106
"8460","the village",106
"8461","them is",106
"8462","them when",106
"8463","this if",106
"8464","this stuff",106
"8465","to contact",106
"8466","to state",106
"8467","to test",106
"8468","today so",106
"8469","too busy",106
"8470","took my",106
"8471","u got",106
"8472","week after",106
"8473","well to",106
"8474","were more",106
"8475","when did",106
"8476","will definitely",106
"8477","with both",106
"8478","without you",106
"8479","wrote the",106
"8480","your job",106
"8481","a combination",105
"8482","a live",105
"8483","accompanied by",105
"8484","air force",105
"8485","all out",105
"8486","american idol",105
"8487","and beautiful",105
"8488","and decided",105
"8489","and wanted",105
"8490","be given",105
"8491","bring me",105
"8492","but did",105
"8493","but nothing",105
"8494","call a",105
"8495","came on",105
"8496","can think",105
"8497","don't wanna",105
"8498","during my",105
"8499","faster than",105
"8500","for fun",105
"8501","for tonight",105
"8502","had any",105
"8503","hate that",105
"8504","have only",105
"8505","hear you",105
"8506","her but",105
"8507","i so",105
"8508","if you'd",105
"8509","illegal immigrants",105
"8510","is considered",105
"8511","issue is",105
"8512","it happened",105
"8513","little to",105
"8514","loving the",105
"8515","make us",105
"8516","mind is",105
"8517","mother in",105
"8518","next door",105
"8519","not easy",105
"8520","not you",105
"8521","of california",105
"8522","one will",105
"8523","or your",105
"8524","our best",105
"8525","pages of",105
"8526","pay attention",105
"8527","phone call",105
"8528","plan is",105
"8529","played by",105
"8530","point out",105
"8531","provided by",105
"8532","really love",105
"8533","reference to",105
"8534","request for",105
"8535","runs in",105
"8536","schools in",105
"8537","serves as",105
"8538","services and",105
"8539","she made",105
"8540","should come",105
"8541","space and",105
"8542","tell your",105
"8543","that don't",105
"8544","the angels",105
"8545","the atlantic",105
"8546","the damage",105
"8547","the debate",105
"8548","the events",105
"8549","the order",105
"8550","the parents",105
"8551","the plant",105
"8552","the scenes",105
"8553","the seven",105
"8554","the station",105
"8555","this issue",105
"8556","this recipe",105
"8557","to on",105
"8558","to point",105
"8559","to settle",105
"8560","today on",105
"8561","took it",105
"8562","year or",105
"8563","you probably",105
"8564","your not",105
"8565","a bright",104
"8566","a bus",104
"8567","a review",104
"8568","a sudden",104
"8569","a u.s",104
"8570","after school",104
"8571","and better",104
"8572","and listen",104
"8573","and sweet",104
"8574","art of",104
"8575","at noon",104
"8576","be true",104
"8577","benefit from",104
"8578","big fan",104
"8579","board members",104
"8580","brother and",104
"8581","but who",104
"8582","call to",104
"8583","came home",104
"8584","case you",104
"8585","catch the",104
"8586","children of",104
"8587","children who",104
"8588","city to",104
"8589","company and",104
"8590","complete the",104
"8591","counts of",104
"8592","done that",104
"8593","early morning",104
"8594","eat the",104
"8595","family to",104
"8596","for awhile",104
"8597","for nearly",104
"8598","front door",104
"8599","get our",104
"8600","get together",104
"8601","girl is",104
"8602","good on",104
"8603","happened in",104
"8604","have known",104
"8605","hoping that",104
"8606","house for",104
"8607","im a",104
"8608","in black",104
"8609","in heaven",104
"8610","included a",104
"8611","just wanna",104
"8612","keep going",104
"8613","later on",104
"8614","linked to",104
"8615","long to",104
"8616","look in",104
"8617","love when",104
"8618","made an",104
"8619","me one",104
"8620","me right",104
"8621","music video",104
"8622","my man",104
"8623","my money",104
"8624","new book",104
"8625","night but",104
"8626","non profit",104
"8627","of anything",104
"8628","of free",104
"8629","of san",104
"8630","of thing",104
"8631","of u.s",104
"8632","of using",104
"8633","on dec",104
"8634","our team",104
"8635","over medium",104
"8636","p.m saturday",104
"8637","party in",104
"8638","per share",104
"8639","range from",104
"8640","re election",104
"8641","reading and",104
"8642","restaurant in",104
"8643","run to",104
"8644","should take",104
"8645","spring training",104
"8646","started a",104
"8647","system is",104
"8648","taken from",104
"8649","than most",104
"8650","thank goodness",104
"8651","that after",104
"8652","that more",104
"8653","the ballot",104
"8654","the benefit",104
"8655","the choice",104
"8656","the plain",104
"8657","the portland",104
"8658","their homes",104
"8659","there that",104
"8660","to imagine",104
"8661","told that",104
"8662","use that",104
"8663","versions of",104
"8664","w o",104
"8665","was called",104
"8666","waste of",104
"8667","we came",104
"8668","wednesday night",104
"8669","weeks and",104
"8670","what people",104
"8671","will remain",104
"8672","would think",104
"8673","a grand",103
"8674","a note",103
"8675","a ride",103
"8676","a smaller",103
"8677","all just",103
"8678","am just",103
"8679","and learn",103
"8680","and move",103
"8681","and says",103
"8682","ask you",103
"8683","at i",103
"8684","bad thing",103
"8685","better in",103
"8686","book that",103
"8687","box of",103
"8688","but really",103
"8689","concerns about",103
"8690","damn i",103
"8691","day if",103
"8692","diagnosed with",103
"8693","do things",103
"8694","early and",103
"8695","ends up",103
"8696","everything was",103
"8697","father and",103
"8698","final four",103
"8699","grown up",103
"8700","happy i",103
"8701","he won",103
"8702","here so",103
"8703","his death",103
"8704","i won’t",103
"8705","i'm always",103
"8706","ideas for",103
"8707","in atlanta",103
"8708","in how",103
"8709","in jail",103
"8710","is required",103
"8711","job i",103
"8712","just bought",103
"8713","just came",103
"8714","just getting",103
"8715","life with",103
"8716","like some",103
"8717","man to",103
"8718","months in",103
"8719","named after",103
"8720","northeast ohio",103
"8721","nothing else",103
"8722","now as",103
"8723","of faith",103
"8724","officials have",103
"8725","oh wait",103
"8726","old fashioned",103
"8727","on by",103
"8728","only about",103
"8729","over for",103
"8730","p.m at",103
"8731","play it",103
"8732","play on",103
"8733","ranging from",103
"8734","road in",103
"8735","run with",103
"8736","sad to",103
"8737","say hello",103
"8738","seeing a",103
"8739","sense to",103
"8740","some very",103
"8741","struck out",103
"8742","suggests that",103
"8743","thanks again",103
"8744","the arizona",103
"8745","the bills",103
"8746","the dance",103
"8747","the pacific",103
"8748","the set",103
"8749","the tweet",103
"8750","they like",103
"8751","to collect",103
"8752","to introduce",103
"8753","to launch",103
"8754","to record",103
"8755","to relax",103
"8756","to rise",103
"8757","too soon",103
"8758","u do",103
"8759","understand how",103
"8760","up is",103
"8761","very difficult",103
"8762","very long",103
"8763","walk away",103
"8764","walk to",103
"8765","was almost",103
"8766","was used",103
"8767","week so",103
"8768","why it",103
"8769","will know",103
"8770","with every",103
"8771","would allow",103
"8772","you coming",103
"8773","you work",103
"8774","a back",102
"8775","a form",102
"8776","a sad",102
"8777","a shout",102
"8778","a tweet",102
"8779","and came",102
"8780","and can't",102
"8781","and much",102
"8782","and once",102
"8783","are right",102
"8784","been at",102
"8785","been more",102
"8786","business in",102
"8787","can keep",102
"8788","climate change",102
"8789","design and",102
"8790","didn't see",102
"8791","difficult for",102
"8792","do well",102
"8793","else i",102
"8794","ever i",102
"8795","fail to",102
"8796","find my",102
"8797","first the",102
"8798","four year",102
"8799","game for",102
"8800","gave a",102
"8801","get so",102
"8802","gift card",102
"8803","got you",102
"8804","group and",102
"8805","growth and",102
"8806","guy i",102
"8807","have yet",102
"8808","having fun",102
"8809","he's got",102
"8810","heard a",102
"8811","here you",102
"8812","himself to",102
"8813","hitting the",102
"8814","i hadn't",102
"8815","in austin",102
"8816","into that",102
"8817","it's almost",102
"8818","job as",102
"8819","just heard",102
"8820","let your",102
"8821","like one",102
"8822","love all",102
"8823","made him",102
"8824","make her",102
"8825","maybe it's",102
"8826","medical marijuana",102
"8827","men in",102
"8828","mind i",102
"8829","my feet",102
"8830","night before",102
"8831","now what",102
"8832","of south",102
"8833","old son",102
"8834","others and",102
"8835","pile of",102
"8836","pleased with",102
"8837","really enjoyed",102
"8838","really wanted",102
"8839","room in",102
"8840","said is",102
"8841","said with",102
"8842","seems that",102
"8843","should know",102
"8844","small town",102
"8845","stay at",102
"8846","strong and",102
"8847","take them",102
"8848","that got",102
"8849","the classic",102
"8850","the english",102
"8851","the iphone",102
"8852","the legal",102
"8853","the outcome",102
"8854","the shower",102
"8855","the soul",102
"8856","think that's",102
"8857","to discover",102
"8858","to establish",102
"8859","to spread",102
"8860","victims of",102
"8861","warm and",102
"8862","west of",102
"8863","which to",102
"8864","will it",102
"8865","you choose",102
"8866","you thank",102
"8867","a ball",101
"8868","a female",101
"8869","a flight",101
"8870","a future",101
"8871","a mistake",101
"8872","a situation",101
"8873","a town",101
"8874","a website",101
"8875","about making",101
"8876","age and",101
"8877","agree that",101
"8878","and blue",101
"8879","and political",101
"8880","announced that",101
"8881","asked her",101
"8882","bad news",101
"8883","be paid",101
"8884","book for",101
"8885","by any",101
"8886","can to",101
"8887","control and",101
"8888","did and",101
"8889","dinner at",101
"8890","district court",101
"8891","done i",101
"8892","each and",101
"8893","eight years",101
"8894","gotta be",101
"8895","had fun",101
"8896","have heard",101
"8897","he felt",101
"8898","he then",101
"8899","he'll be",101
"8900","her with",101
"8901","higher education",101
"8902","his friends",101
"8903","however it",101
"8904","if all",101
"8905","in france",101
"8906","in several",101
"8907","it an",101
"8908","it's on",101
"8909","just an",101
"8910","kick off",101
"8911","knew the",101
"8912","line is",101
"8913","loved ones",101
"8914","mean it",101
"8915","means of",101
"8916","months after",101
"8917","music i",101
"8918","my cousin",101
"8919","nfl draft",101
"8920","ok so",101
"8921","on jan",101
"8922","one from",101
"8923","only time",101
"8924","others in",101
"8925","out loud",101
"8926","program that",101
"8927","project is",101
"8928","red sox",101
"8929","right of",101
"8930","room with",101
"8931","sat down",101
"8932","sense that",101
"8933","shot in",101
"8934","spoke to",101
"8935","state the",101
"8936","still had",101
"8937","students are",101
"8938","table and",101
"8939","that mean",101
"8940","that says",101
"8941","that's awesome",101
"8942","that's it",101
"8943","the administration",101
"8944","the benefits",101
"8945","the crash",101
"8946","the edges",101
"8947","the interview",101
"8948","the newspaper",101
"8949","the population",101
"8950","the questions",101
"8951","the sport",101
"8952","the various",101
"8953","they take",101
"8954","they took",101
"8955","they're going",101
"8956","through all",101
"8957","to college",101
"8958","to submit",101
"8959","true i",101
"8960","using it",101
"8961","waiting on",101
"8962","was part",101
"8963","we're in",101
"8964","work hard",101
"8965","you'll have",101
"8966","a horse",100
"8967","agree to",100
"8968","an attorney",100
"8969","and around",100
"8970","and community",100
"8971","and im",100
"8972","and looking",100
"8973","and tried",100
"8974","any kind",100
"8975","anyone in",100
"8976","avenue and",100
"8977","begin with",100
"8978","boys and",100
"8979","brown and",100
"8980","but here",100
"8981","can buy",100
"8982","can't go",100
"8983","city officials",100
"8984","claim that",100
"8985","complete with",100
"8986","death and",100
"8987","didn't make",100
"8988","economy is",100
"8989","events and",100
"8990","everything and",100
"8991","feet and",100
"8992","for almost",100
"8993","fun with",100
"8994","game against",100
"8995","game was",100
"8996","get started",100
"8997","great things",100
"8998","great work",100
"8999","guilty of",100
"9000","half hour",100
"9001","have many",100
"9002","if anything",100
"9003","imagine the",100
"9004","is their",100
"9005","is used",100
"9006","issues that",100
"9007","it very",100
"9008","it's amazing",100
"9009","it's great",100
"9010","little boy",100
"9011","long before",100
"9012","lost my",100
"9013","low income",100
"9014","make their",100
"9015","me laugh",100
"9016","my bad",100
"9017","my dream",100
"9018","my favorites",100
"9019","my two",100
"9020","of late",100
"9021","of trying",100
"9022","one hand",100
"9023","order of",100
"9024","our community",100
"9025","out more",100
"9026","own the",100
"9027","passed away",100
"9028","placed on",100
"9029","prepare for",100
"9030","process and",100
"9031","ran into",100
"9032","really bad",100
"9033","report on",100
"9034","rich and",100
"9035","rights and",100
"9036","ron paul",100
"9037","run on",100
"9038","say i'm",100
"9039","say we",100
"9040","so no",100
"9041","style and",100
"9042","take away",100
"9043","that game",100
"9044","the butter",100
"9045","the greater",100
"9046","the ipad",100
"9047","the physical",100
"9048","the purpose",100
"9049","the so",100
"9050","the strength",100
"9051","the victims",100
"9052","thing as",100
"9053","this event",100
"9054","thought was",100
"9055","to chicago",100
"9056","topped with",100
"9057","true that",100
"9058","turn into",100
"9059","turn it",100
"9060","u.s and",100
"9061","up being",100
"9062","we always",100
"9063","whatever the",100
"9064","when you’re",100
"9065","which could",100
"9066","who won",100
"9067","years at",100
"9068","yes and",100
"9069","a government",99
"9070","a green",99
"9071","a hole",99
"9072","a reminder",99
"9073","a tv",99
"9074","a weekend",99
"9075","about three",99
"9076","and cheese",99
"9077","and four",99
"9078","and makes",99
"9079","and taking",99
"9080","around my",99
"9081","as with",99
"9082","be any",99
"9083","be playing",99
"9084","behind me",99
"9085","business is",99
"9086","but said",99
"9087","by its",99
"9088","can't see",99
"9089","can't stand",99
"9090","control the",99
"9091","copies of",99
"9092","created the",99
"9093","days a",99
"9094","death in",99
"9095","development and",99
"9096","discovered that",99
"9097","do better",99
"9098","down my",99
"9099","failing to",99
"9100","first three",99
"9101","fiscal year",99
"9102","for school",99
"9103","for summer",99
"9104","from any",99
"9105","from those",99
"9106","government is",99
"9107","great game",99
"9108","had me",99
"9109","heart attack",99
"9110","here that",99
"9111","how that",99
"9112","i probably",99
"9113","i'm working",99
"9114","impressed with",99
"9115","is exactly",99
"9116","is running",99
"9117","isn't that",99
"9118","it until",99
"9119","job at",99
"9120","just think",99
"9121","keep an",99
"9122","know there",99
"9123","later that",99
"9124","limited to",99
"9125","made some",99
"9126","maybe not",99
"9127","men are",99
"9128","missed you",99
"9129","move forward",99
"9130","on when",99
"9131","one last",99
"9132","or may",99
"9133","over i",99
"9134","over this",99
"9135","per year",99
"9136","percent the",99
"9137","place that",99
"9138","prefer to",99
"9139","put me",99
"9140","said wednesday",99
"9141","say something",99
"9142","second in",99
"9143","she's not",99
"9144","slow down",99
"9145","so please",99
"9146","soon after",99
"9147","staff and",99
"9148","stopping by",99
"9149","than anything",99
"9150","that never",99
"9151","that now",99
"9152","that went",99
"9153","the brand",99
"9154","the cool",99
"9155","the euro",99
"9156","the lines",99
"9157","the pressure",99
"9158","the trees",99
"9159","the world’s",99
"9160","there should",99
"9161","they went",99
"9162","they've been",99
"9163","though that",99
"9164","to attract",99
"9165","to forget",99
"9166","to host",99
"9167","to music",99
"9168","to succeed",99
"9169","to want",99
"9170","today as",99
"9171","up now",99
"9172","up we",99
"9173","us what",99
"9174","was once",99
"9175","watch out",99
"9176","ways of",99
"9177","well he",99
"9178","with good",99
"9179","with little",99
"9180","with lots",99
"9181","year olds",99
"9182","you down",99
"9183","you rock",99
"9184","yourself to",99
"9185","a collection",98
"9186","a fucking",98
"9187","a paper",98
"9188","a pic",98
"9189","a vote",98
"9190","an incredible",98
"9191","and early",98
"9192","another great",98
"9193","are awesome",98
"9194","are used",98
"9195","away for",98
"9196","back when",98
"9197","be heard",98
"9198","because if",98
"9199","blog i",98
"9200","bring in",98
"9201","but instead",98
"9202","can't tell",98
"9203","contract with",98
"9204","couldn't be",98
"9205","didn't do",98
"9206","division of",98
"9207","email to",98
"9208","event is",98
"9209","fill the",98
"9210","floor and",98
"9211","for five",98
"9212","for helping",98
"9213","forms of",98
"9214","found on",98
"9215","funny how",98
"9216","good friend",98
"9217","guy in",98
"9218","hard on",98
"9219","has two",98
"9220","hate to",98
"9221","he began",98
"9222","his back",98
"9223","hit by",98
"9224","holding a",98
"9225","i hit",98
"9226","i'll never",98
"9227","in kansas",98
"9228","in years",98
"9229","is bad",98
"9230","it always",98
"9231","it going",98
"9232","it's true",98
"9233","just over",98
"9234","life on",98
"9235","lmao i",98
"9236","make him",98
"9237","me by",98
"9238","me through",98
"9239","much a",98
"9240","much less",98
"9241","much money",98
"9242","my card",98
"9243","my dear",98
"9244","next weekend",98
"9245","no such",98
"9246","obama is",98
"9247","out he",98
"9248","plan that",98
"9249","player of",98
"9250","possession of",98
"9251","regarding the",98
"9252","science and",98
"9253","second quarter",98
"9254","southern california",98
"9255","stand in",98
"9256","state department",98
"9257","stop it",98
"9258","story in",98
"9259","struggling to",98
"9260","suggest that",98
"9261","tens of",98
"9262","than this",98
"9263","that happen",98
"9264","the app",98
"9265","the common",98
"9266","the finish",98
"9267","the gift",98
"9268","the journey",98
"9269","the rich",98
"9270","the rise",98
"9271","the tour",98
"9272","the valley",98
"9273","these were",98
"9274","they always",98
"9275","this card",98
"9276","this out",98
"9277","to better",98
"9278","to finally",98
"9279","to fund",98
"9280","to obtain",98
"9281","u and",98
"9282","use my",98
"9283","very few",98
"9284","was playing",98
"9285","who does",98
"9286","who needs",98
"9287","with many",98
"9288","word for",98
"9289","world that",98
"9290","would need",98
"9291","you then",98
"9292","you very",98
"9293","your car",98
"9294","your hand",98
"9295","a character",97
"9296","a crowd",97
"9297","a legal",97
"9298","about as",97
"9299","alive and",97
"9300","almost all",97
"9301","amazing how",97
"9302","and although",97
"9303","and any",97
"9304","and five",97
"9305","and small",97
"9306","and these",97
"9307","and today",97
"9308","apply to",97
"9309","award for",97
"9310","be it",97
"9311","because that",97
"9312","believed to",97
"9313","bring you",97
"9314","bring your",97
"9315","but that’s",97
"9316","by what",97
"9317","company to",97
"9318","did my",97
"9319","do know",97
"9320","doesn't want",97
"9321","examples of",97
"9322","face to",97
"9323","for students",97
"9324","found myself",97
"9325","funny and",97
"9326","get here",97
"9327","give her",97
"9328","go from",97
"9329","happy thanksgiving",97
"9330","have and",97
"9331","have such",97
"9332","him so",97
"9333","if its",97
"9334","in but",97
"9335","in store",97
"9336","includes the",97
"9337","invest in",97
"9338","is needed",97
"9339","it's in",97
"9340","just being",97
"9341","just saying",97
"9342","kill me",97
"9343","know right",97
"9344","life has",97
"9345","live and",97
"9346","look and",97
"9347","mad men",97
"9348","me was",97
"9349","might want",97
"9350","million for",97
"9351","moments of",97
"9352","movie is",97
"9353","my stomach",97
"9354","needless to",97
"9355","never ever",97
"9356","of young",97
"9357","off by",97
"9358","one else",97
"9359","passed the",97
"9360","posted on",97
"9361","professor of",97
"9362","program is",97
"9363","promised to",97
"9364","real world",97
"9365","realized i",97
"9366","seeking to",97
"9367","shows the",97
"9368","so do",97
"9369","stay with",97
"9370","suggested that",97
"9371","that led",97
"9372","the crew",97
"9373","the evidence",97
"9374","the hottest",97
"9375","the machine",97
"9376","the oldest",97
"9377","the orange",97
"9378","the score",97
"9379","the self",97
"9380","the starting",97
"9381","the statement",97
"9382","there we",97
"9383","this tweet",97
"9384","thought we",97
"9385","times of",97
"9386","to accomplish",97
"9387","today you",97
"9388","tomorrow morning",97
"9389","very first",97
"9390","very soon",97
"9391","wait i",97
"9392","we come",97
"9393","weekend in",97
"9394","weeks to",97
"9395","whatever it",97
"9396","whats up",97
"9397","would help",97
"9398","wrong i",97
"9399","years for",97
"9400","you let",97
"9401","you miss",97
"9402","a broken",96
"9403","a rather",96
"9404","a reality",96
"9405","a space",96
"9406","a study",96
"9407","a touch",96
"9408","after two",96
"9409","after you",96
"9410","an individual",96
"9411","and right",96
"9412","are taking",96
"9413","as such",96
"9414","at best",96
"9415","be afraid",96
"9416","be home",96
"9417","be making",96
"9418","been told",96
"9419","board and",96
"9420","buy it",96
"9421","can read",96
"9422","championship game",96
"9423","change is",96
"9424","checked out",96
"9425","court of",96
"9426","doing my",96
"9427","first ever",96
"9428","first step",96
"9429","four days",96
"9430","from around",96
"9431","fucked up",96
"9432","gave us",96
"9433","getting back",96
"9434","have learned",96
"9435","heat and",96
"9436","her back",96
"9437","high speed",96
"9438","himself as",96
"9439","his car",96
"9440","home runs",96
"9441","i definitely",96
"9442","in brooklyn",96
"9443","in connection",96
"9444","is dead",96
"9445","is less",96
"9446","it after",96
"9447","it can't",96
"9448","it one",96
"9449","it started",96
"9450","knows that",96
"9451","learned to",96
"9452","least two",96
"9453","left of",96
"9454","like how",96
"9455","me more",96
"9456","minutes before",96
"9457","moment and",96
"9458","my school",96
"9459","night we",96
"9460","no not",96
"9461","of april",96
"9462","of color",96
"9463","of political",96
"9464","on track",96
"9465","only person",96
"9466","others are",96
"9467","our favorite",96
"9468","past week",96
"9469","project in",96
"9470","promise to",96
"9471","reach out",96
"9472","really cool",96
"9473","really just",96
"9474","red and",96
"9475","replace the",96
"9476","return of",96
"9477","right at",96
"9478","said thursday",96
"9479","season of",96
"9480","so i'll",96
"9481","something we",96
"9482","spot on",96
"9483","story the",96
"9484","surprised to",96
"9485","the costs",96
"9486","the cubs",96
"9487","the flowers",96
"9488","the i",96
"9489","the proper",96
"9490","the ship",96
"9491","the sort",96
"9492","the trade",96
"9493","the well",96
"9494","the winning",96
"9495","the writing",96
"9496","they put",96
"9497","thing the",96
"9498","this makes",96
"9499","those two",96
"9500","to to",96
"9501","understand what",96
"9502","us are",96
"9503","was happy",96
"9504","was having",96
"9505","was nothing",96
"9506","watch a",96
"9507","we haven't",96
"9508","went with",96
"9509","what it's",96
"9510","what up",96
"9511","who just",96
"9512","year so",96
"9513","you cannot",96
"9514","you two",96
"9515","you're doing",96
"9516","your welcome",96
"9517","a christmas",95
"9518","a dead",95
"9519","a field",95
"9520","a powerful",95
"9521","a product",95
"9522","about half",95
"9523","about these",95
"9524","also was",95
"9525","and each",95
"9526","and looked",95
"9527","any questions",95
"9528","are well",95
"9529","around you",95
"9530","attack on",95
"9531","be much",95
"9532","because a",95
"9533","benefit of",95
"9534","big and",95
"9535","boy and",95
"9536","brought the",95
"9537","by me",95
"9538","call us",95
"9539","city has",95
